Nom,Prix,Prix barré,Lien
F9 - Écouteur Sans Fil - Bluetooth 5.1 - Noir,"2,250 FCFA","9,950 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA04FXS2NAFAMZ-36586044&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Écouteurs Bluetooth Pro 6 Oreillette Bluetooth Stéréo - Blanc,"2,350 FCFA","9,950 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA05MSZMNAFAMZ-36586072&return=%2Ftelephone-tablette%2F%3Fpage%3D2
4 In 1 USB Cables Portable Power Bank - 10000mAh - Black,"3,002 FCFA","5,182 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1LIJBWNAFAMZ-36410164&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Écouteurs Bluetooth Sans Fil Avec Affichage LED,"2,900 FCFA","4,902 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE004EA0BIOWWNAFAMZ-36275108&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android,"2,580 FCFA","7,030 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0EANX2NAFAMZ-36890141&return=%2Ftelephone-tablette%2F%3Fpage%3D2
AIR31 - Ecouteur Bluetooth Sans Fil - Blanc,"1,950 FCFA","8,890 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1HU54KNAFAMZ-36459911&return=%2Ftelephone-tablette%2F%3Fpage%3D2
ARHANORY Support De Trépied Téléphone Selfie Anneau Lumineux-Noir,"2,490 FCFA","3,979 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1K6MURNAFAMZ-20486217&return=%2Ftelephone-tablette%2F%3Fpage%3D2
P9 - Casque Bluetooth Sans Fil - Noir,"2,750 FCFA","15,590 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0U84NWNAFAMZ-36156126&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Itel P65 C - Noir Ecran 6.6'' HD - 128 Go/4Go Ram + 4Go Extensible - 13MP+IA /8MP - 5000mAh,"44,200 FCFA","70,000 FCFA",https://www.jumia.ci/itel-p65-c-noir-ecran-6.6-hd-128-go4go-ram-4go-extensible-13mpia-8mp-5000mah-30178727.html
"Samsung Galaxy A16 - 2 Sim - 4G - 6.6"" - 4Go/128Go - 13Mpx/50+5+2Mpx - 5000 MAh - GRIS","84,400 FCFA","160,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP04GJEFNAFAMZ-40872771&return=%2Ftelephone-tablette%2F%3Fpage%3D2
"Guixia Air31 Écouteurs Intra-Auriculaires Bluetooth Transparent À Réduction De Bruit, Casque Sans Fil Avec Affichage Numérique","2,049 FCFA","3,908 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1J8D5QNAFAMZ-37019925&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Oreillette Bluetooth Air Pro 3 - Noir,"1,980 FCFA","8,890 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA09BA70NAFAMZ-36415974&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Montre Connectée T800 Ultra Bluetooth Pour Appels Sportifs Et Fitness Série 8,"3,278 FCFA","14,566 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0ZGZ7ONAFAMZ-40396248&return=%2Ftelephone-tablette%2F%3Fpage%3D2
"Teezne Portable Pøwer Bank C0505A - Pink,Built-in Cables Ultra Green","7,841 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=BR349EA0DGAHRNAFAMZ-40973716&return=%2Ftelephone-tablette%2F%3Fpage%3D2
B39 Casque Stéréo Sans Fil Bluetooth5.0 Lumineux Coloré Casque On-Ear Écouteurs À Fort Basse Écouteurs De Jeu Musique Sports - Noir,"3,275 FCFA","10,173 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA04RFYMNAFAMZ-35077290&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Noir Montres Intelligentes à écran Tactile Complet - Pour Android Et IOS,"3,987 FCFA","4,272 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA05HDIYNAFAMZ-34926057&return=%2Ftelephone-tablette%2F%3Fpage%3D2
TiLECC Écouteurs Sans Fil Pro4- HIFI Bluetooth 5.0 Casque,"1,976 FCFA","4,528 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1IM0AQNAFAMZ-36755275&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Oraimo PowerBank Charge Rapide - 10000mah 12W - Noir,"9,722 FCFA","18,347 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=OR234EA1I9MWUNAFAMZ-35069132&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Écouteurs Bluetooth S20 - Power Bank 2200 Mah - Noir,"2,947 FCFA","10,173 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA05QOKCNAFAMZ-36416050&return=%2Ftelephone-tablette%2F%3Fpage%3D2
TiLECC BT30 ENC écouteurs Sans Fil Bluetooth à Suppression De Bruit,"2,199 FCFA","7,704 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1MCEQCNAFAMZ-40336402&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Air39 - Ecouteur Bluetooth Sans Fil - Noir,"1,949 FCFA","8,891 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA12DJHANAFAMZ-36977121&return=%2Ftelephone-tablette%2F%3Fpage%3D2
P9 - Casque Bluetooth Sans Fil - Compatible Avec IOS Et Android,"2,580 FCFA","5,189 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0IBGKCNAFAMZ-36156124&return=%2Ftelephone-tablette%2F%3Fpage%3D2
TiLECC S20 - Écouteur Bluetooth Sans Fil  - Noir,"3,559 FCFA","6,861 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA14TP30NAFAMZ-35362149&return=%2Ftelephone-tablette%2F%3Fpage%3D2
"Samsung SM B310E Ou SM B315E 1.8''/2"" Dual / Double Sim 2 Puces - FM Radio - Torche - 4 Bandes - Blanc","9,995 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0UDTLENAFAMZ-33883985&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Oreillette Bluetooth Stéréo + Y30 écouteur Sans Fil - Noir,"1,950 FCFA","6,550 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1GO1S2NAFAMZ-36586067&return=%2Ftelephone-tablette%2F%3Fpage%3D2
Music Pioneer 2.19'' Montre Connectée T900 Ultra2 Bluetooth Pour Appels Sportifs Et Fitness Série 8,"3,500 FCFA","6,667 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=MU676EA1JJY72NAFAMZ-34824863&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"GUIXIA  Air31 Brand New Bluetooth Transparent Noise Reduction In Ear Earphones, Digital Display Wireless Headphone","2,049 FCFA","5,294 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0PGOWUNAFAMZ-37019920&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android,"2,843 FCFA","10,158 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0MPY4MNAFAMZ-36897660&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"Samsung Galaxy A06 - 4G - 2 SIM - 6.7"" - 4/128Go - 50Mpx - 5000 MAh - Black","62,000 FCFA","110,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP054R8JNAFAMZ-40748513&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Écouteur Bluetooth Sans Fil S20 Tactile LED Audio Stéréo Blanc,"3,680 FCFA","6,863 FCFA",https://www.jumia.ci/generic-ecouteur-bluetooth-sans-fil-s20-tactile-led-audio-stereo-blanc-26780367.html
"Itel S25 Ultra 6,78"" Gris AMOLED 256+8 4G + Smartwatch 023 OFFERT","100,170 FCFA","180,000 FCFA",https://www.jumia.ci/itel-s25-ultra-678-gris-amoled-2568-4g-smartwatch-023-offert-30171822.html
"Samsung Galaxy A16 - 6,7"" - 128GO ROM - 4GO RAM - 50MP/13MP - 5000MAH -W","84,500 FCFA","120,000 FCFA",https://www.jumia.ci/galaxy-a16-67-128go-rom-4go-ram-50mp13mp-5000mah-w-samsung-mpg841877.html
XIAOMI Redmi A3x -4G-6.71''-3/64Go-8Mpx- Vert - Garantie 12 Mois,"41,300 FCFA","60,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP0GIM3JNAFAMZ-41156508&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"XIAOMI Redmi A3 Pro - 6.71"" - 2SIM - 4G - 50/8 Mpx - 4/128 Go - Bleu - Garantie 12 Mois","54,900 FCFA","75,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=XI928MP04KB4JNAFAMZ-40820665&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Pro 6 Casque Bluetooth Haute Fidélité Prise D'oreille Capteur Tactile Haute Fidélité Android Et IPhone-,"1,990 FCFA","4,457 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA040FZSNAFAMZ-39053109&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Pro3 Casques Bluetooth Pods Sans Fil Pro Earpods Écouteurs,"2,193 FCFA","5,112 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA1A3HLBNAFAMZ-40964772&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Itel P65 C -Or Ecran 6.6'' HD - 128 Go/4Go Ram + 4Go Extensible - 13MP+IA /8MP - 5000mAh,"44,200 FCFA","70,000 FCFA",https://www.jumia.ci/itel-p65-c-or-ecran-6.6-hd-128-go4go-ram-4go-extensible-13mpia-8mp-5000mah-30178036.html
P9 - Casque Bluetooth Sans Fil,"2,750 FCFA","5,392 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0K8ZYUNAFAMZ-36890142&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"Samsung Galaxy A16 - 2 Sim - 4G - 6.6"" - 4Go/128Go - 13Mpx/50+5+2Mpx - 5000 MAh - Noir","84,400 FCFA","130,000 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=SA024MP0CDLQVNAFAMZ-40873025&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"Huawei Honor 8X 6.5"" 6GB RAM 128GB ROM Kirin 710 3750mAh Dual Back 20MP Camera","42,380 FCFA","80,495 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=HU830MP1HFAQ8NAFAMZ-39405579&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Écouteurs Bluetooth Pro 4 Oreillette Bluetooth Stereo - Blanc,"2,050 FCFA","9,950 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0HJH36NAFAMZ-36586074&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Écouteurs Bluetooth De Sport Sans Fil Avec Casque Magnétique À Suspendre Au Cou - Noir,"1,690 FCFA",,https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0SAFSQNAFAMZ-37165094&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Air39 - Écouteur Bluetooth Bt 5.3 - Blanc,"1,950 FCFA","4,667 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0CR8DWNAFAMZ-36459914&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Wireless Fingerprint Touch Headset Bluetooth 5.1 Earphones,"1,979 FCFA","3,759 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0R69QENAFAMZ-36895378&return=%2Ftelephone-tablette%2F%3Fpage%3D3
Tilecc T800 - Montre Intelligente Ultra 8 - Noir,"3,399 FCFA","11,543 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA0J8AQONAFAMZ-36377418&return=%2Ftelephone-tablette%2F%3Fpage%3D3
"Itel Smart Watch Storm Ultra ISW-023 Montre Intelligente HD  2.02"" à Rayure étanche à L'eau-Noir","9,200 FCFA","22,000 FCFA",https://www.jumia.ci/itel-smart-watch-storm-ultra-isw-023-montre-intelligente-hd-2.02-a-rayure-etanche-a-leau-noir-30071563.html
Wireless Bluetooth Earphones Sport Stereo Neck Hanging,"2,643 FCFA","4,702 FCFA",https://www.jumia.ci/customer/account/login/?tkWl=GE070EA05COBANAFAMZ-34392660&return=%2Ftelephone-tablette%2F%3Fpage%3D3
